,دیم,آبی,کل,استان
کل ,200889.87303333337,111315.7247166674,312205.597749998,استان مرکزي
گندم,187423.0053999998,36994.71939999997,224417.72480000017,استان مرکزي
جو,10378.2493,33784.659816666644,44162.909116666706,استان مرکزي
کل ,17593.18855833333,129309.4200436665,146902.60860199973,استان گيلان
گندم,7578.306608333333,168.09945000000002,7746.406058333334,استان گيلان
جو,3670.5263666666647,116.05455,3786.580916666666,استان گيلان
کل ,80519.175805,156931.3499750004,237450.52578000107,استان مازندران
گندم,45906.90971666663,1986.574166666666,47893.48388333327,استان مازندران
جو,20502.93195,1943.9338833333338,22446.865833333333,استان مازندران
کل ,569343.4831349995,177782.22750333385,747125.7106383352,استان آذربايجان شرقي
گندم,428153.1274083335,55187.36882500016,483340.4962333333,استان آذربايجان شرقي
جو,89387.47002666665,22339.739829999995,111727.20985666677,استان آذربايجان شرقي
کل ,372343.75317666744,243285.20654233353,615628.9597190002,استان آذربايجان غربي
گندم,260302.157366667,70756.67559000006,331058.8329566675,استان آذربايجان غربي
جو,46434.37106666663,15450.377273333319,61884.748340000006,استان آذربايجان غربي
کل ,503941.5689999996,137300.76383333353,641242.3328333314,استان كرمانشاه
گندم,279869.02320000005,71707.6580000001,351576.6812000006,استان كرمانشاه
جو,132785.56076666687,5346.676333333333,138132.2371000002,استان كرمانشاه
کل ,491918.5558333334,839327.9098233365,1331246.4656566728,استان خوزستان
گندم,370229.2623333333,484067.3262833329,854296.5886166672,استان خوزستان
جو,118762.11816666657,43714.39583333335,162476.51399999973,استان خوزستان
کل ,198754.22354166687,468015.67598333413,666769.8995249993,استان فارس
گندم,92166.96126666675,233825.90681999986,325992.8680866667,استان فارس
جو,102485.11318333338,44711.39451666667,147196.50769999984,استان فارس
کل ,5093.835333333333,345468.69004999934,350562.5253833324,استان كرمان
گندم,618.2791666666669,126888.20988333343,127506.48905000008,استان كرمان
جو,4100.147833333333,34024.38942499996,38124.53725833326,استان كرمان
کل ,373715.811933333,469164.28542499465,842880.0973583396,استان خراسان رضوئ
گندم,275261.648,154878.12775833317,430139.77575833397,استان خراسان رضوئ
جو,80578.32479999996,122920.01780666667,203498.34260666696,استان خراسان رضوئ
کل ,33579.68999999996,153438.23346666916,187017.92346667033,استان اصفهان
گندم,26325.09333333332,43927.62819166654,70252.7215250001,استان اصفهان
جو,5768.653333333335,40126.26281666658,45894.91614999989,استان اصفهان
کل ,43269.15396666667,174916.5953506665,218185.74931733325,استان سيستان وبلوچستان
گندم,2400.7128999999995,77188.95156666677,79589.66446666681,استان سيستان وبلوچستان
جو,7487.215833333339,28565.34533333326,36052.56116666657,استان سيستان وبلوچستان
کل ,614258.4297000004,87221.1166800001,701479.5463800014,استان كردستان
گندم,522914.79009999934,37491.91894999999,560406.7090499995,استان كردستان
جو,14821.967883333344,4628.7859833333305,19450.753866666673,استان كردستان
کل ,380720.0082,162108.07959666714,542828.0877966651,استان همدان
گندم,285333.15300000005,54543.48903333335,339876.64203333337,استان همدان
جو,87066.85500000008,30572.357933333304,117639.21293333347,استان همدان
کل ,68139.58233333335,57024.076699999736,125163.65903333311,استان چهارمحال وبختيارئ
گندم,43362.308500000094,22895.759199999986,66258.06770000006,استان چهارمحال وبختيارئ
جو,22900.774500000018,7106.663833333337,30007.438333333368,استان چهارمحال وبختيارئ
کل ,515499.31938333344,152981.07736666696,668480.39675,استان لرستان
گندم,284671.7049833334,85473.06321666675,370144.7681999991,استان لرستان
جو,190519.8316999999,15024.942766666662,205544.77446666668,استان لرستان
کل ,163115.76736666658,81786.71976666659,244902.48713333355,استان ايلام
گندم,93767.14266666662,54967.07973333336,148734.2223999999,استان ايلام
جو,65047.657533333324,2488.969666666668,67536.62719999999,استان ايلام
کل ,126120.00556666675,38748.11545999991,164868.12102666704,استان كهگيلويه وبويراحمد
گندم,75109.32086666665,19690.77049333334,94800.09136000002,استان كهگيلويه وبويراحمد
جو,46993.75843333331,2933.833333333333,49927.591766666636,استان كهگيلويه وبويراحمد
کل ,221019.41,53201.736633333334,274221.1466333334,استان بوشهر
گندم,186274.53333333338,15540.9364,201815.46973333345,استان بوشهر
جو,34597.62666666668,1687.7533333333333,36285.38000000001,استان بوشهر
کل ,373127.69493333355,95509.70157800018,468637.39651133306,استان زنجان
گندم,326197.8790999997,18072.045200000022,344269.92429999955,استان زنجان
جو,33669.00083333335,7727.959066666664,41396.95990000004,استان زنجان
کل ,20528.8115,74976.17661666672,95504.98811666654,استان سمنان
گندم,8020.589999999999,28145.717116666667,36166.30711666668,استان سمنان
جو,4989.0105,23813.038233333355,28802.048733333355,استان سمنان
کل ,0.4333333333333333,22740.621149999995,22741.05448333333,استان يزد
گندم,,11555.800850000038,11555.850850000039,استان يزد
جو,,3235.442733333332,3235.642733333332,استان يزد
کل ,7030.902166666669,70653.12163333334,77684.02380000004,استان هرمزگان
گندم,792.4016666666668,12723.735000000002,13516.136666666669,استان هرمزگان
جو,5550.9805000000015,1367.9455333333324,6918.926033333337,استان هرمزگان
کل ,5392.976800000003,140953.7207333335,146346.69753333335,استان تهران
گندم,3357.663333333333,46948.557400000005,50306.220733333335,استان تهران
جو,1323.176666666667,35773.10433333332,37096.28099999999,استان تهران
کل ,324048.05086666695,192932.32748666682,516980.378353333,استان اردبيل
گندم,191659.81319999992,69279.82429999995,260939.63750000007,استان اردبيل
جو,110650.32846666666,23858.902000000002,134509.23046666675,استان اردبيل
کل ,607.8891666666667,27732.624166666657,28340.513333333332,استان قم
گندم,468.34583333333336,5438.6938333333355,5907.039666666667,استان قم
جو,82.99333333333333,14364.684166666666,14447.6775,استان قم
کل ,110160.55931666671,124651.37013333342,234811.92945000003,استان قزوين
گندم,87961.52421666666,40754.31660000001,128715.84081666665,استان قزوين
جو,13308.788383333338,26128.021666666653,39436.81005,استان قزوين
کل ,396256.43038333266,234631.78238333305,630888.2127666675,استان گلستان
گندم,218381.3240266666,121933.99961666654,340315.32364333334,استان گلستان
جو,124037.95757333329,9085.734999999999,133123.69257333333,استان گلستان
کل ,144905.41850000006,92503.72873333342,237409.14723333353,استان خراسان شمالي
گندم,93301.12983333337,39594.13854999998,132895.26838333328,استان خراسان شمالي
جو,34845.66916666668,25233.915700000012,60079.58486666669,استان خراسان شمالي
کل ,11773.809533333351,62324.60239100008,74098.41192433324,استان خراسان جنوبي
گندم,8690.318650000003,18178.973849999995,26869.292499999945,استان خراسان جنوبي
جو,1562.5479,18722.70458333332,20285.252483333315,استان خراسان جنوبي
